query_name,generic_class,query_family,edge_position,edge_id,relationship_name,observed_cardinality,hint_confidence,computation_status
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,1,Corporation -- ListedSecurity [corporation_has_listed_security],corporation_has_listed_security,no_observed_matches,medium,computed
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,2,Transaction -- ListedSecurity [transaction_refers_to_listed_security],transaction_refers_to_listed_security,observed_N_to_M,high,computed
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,3,SellTransaction -- Transaction [sell_transaction_is_transaction],sell_transaction_is_transaction,observed_1_to_1,medium,computed
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,1,Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account,observed_N_to_M,high,computed
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,2,FinancialServiceAccount -- Transaction [account_records_transaction],account_records_transaction,observed_N_to_M,high,computed
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,3,Transaction -- ListedSecurity [transaction_refers_to_listed_security],transaction_refers_to_listed_security,observed_N_to_M,high,computed
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,4,BuyTransaction -- Transaction [buy_transaction_is_transaction],buy_transaction_is_transaction,observed_1_to_1,medium,computed
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,5,SellTransaction -- Transaction [sell_transaction_is_transaction],sell_transaction_is_transaction,observed_1_to_1,medium,computed
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,1,Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account,observed_N_to_M,high,computed
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,2,FinancialServiceAccount -- Holding [account_has_holding],account_has_holding,observed_N_to_M,high,computed
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,3,Holding -- ListedSecurity [holding_refers_to_listed_security],holding_refers_to_listed_security,observed_N_to_M,high,computed
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,4,FinancialServiceAccount -- Transaction [account_records_transaction],account_records_transaction,observed_N_to_M,high,computed
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,5,BuyTransaction -- Transaction [buy_transaction_is_transaction],buy_transaction_is_transaction,observed_1_to_1,medium,computed
