experiment_id,config_name,activated_class,benchmark_family,scale_factor,scale_label,execution_phase,mongo_db_name,selected_root,primary_collection,embedding_depth,embedding_variant,embedded_entities,snapshot_entities,referenced_entities,changed_region_entities,derived_from_queries,n_supporting_queries,primary_queries,secondary_affected_queries,control_queries,n_primary_queries,n_secondary_affected_queries,n_control_queries,experiment_goal,scale_priority,config_priority,execution_wave,family_label,comparison_goal,execution_order,execution_rationale
watchitem_g2_sf0.5,watchitem_g2,G2,root_local_family,0.5,sf0.5,included_in_study,imdb_mongo_sf0.5_watchitem_g2,WatchItem,watchitems,1,shared_descriptor,['Genre'],[],"['Movie', 'Series', 'Episode']","['WatchItem', 'Genre']","['QG10_AdvancedSearchWatchItems', 'QG3_RecommendationByGenreAndSubtype', 'QG9_TopRatedSeriesByGenre']",3,"['QG10_AdvancedSearchWatchItems', 'QG3_RecommendationByGenreAndSubtype', 'QG9_TopRatedSeriesByGenre']","['QG1_WatchItemById', 'QG2_WatchItemByTitle', 'QG4_AllPersonsOfTypeForWatchItem', 'QG5_AllPersonsForEpisodesOfSeries', 'QG7_UpdateWatchItemMetadata', 'QG8_AddPersonRoleToWatchItem']",['QG6_EpisodesOfSeries'],3,6,1,"Testar a configuração watchitem_g2 (G2) na família root_local_family em sf0.5, avaliando queries primárias, secundárias afetadas e de controle.",2,2,Onda 2 — escala intermediária,WatchItem rasa,Descritor compartilhado,11,Executar depois da validação inicial para verificar se o comportamento da configuração se mantém em escala intermediária.
watchitem_g3_sf0.5,watchitem_g3,G3,root_local_family,0.5,sf0.5,included_in_study,imdb_mongo_sf0.5_watchitem_g3,WatchItem,watchitems,1,structural_component,"['Episode', 'Movie', 'Series']",[],['Genre'],"['WatchItem', 'Episode', 'Movie', 'Series']","['QG10_AdvancedSearchWatchItems', 'QG3_RecommendationByGenreAndSubtype', 'QG9_TopRatedSeriesByGenre']",3,"['QG10_AdvancedSearchWatchItems', 'QG3_RecommendationByGenreAndSubtype', 'QG9_TopRatedSeriesByGenre']","['QG1_WatchItemById', 'QG2_WatchItemByTitle', 'QG4_AllPersonsOfTypeForWatchItem', 'QG5_AllPersonsForEpisodesOfSeries', 'QG6_EpisodesOfSeries', 'QG7_UpdateWatchItemMetadata', 'QG8_AddPersonRoleToWatchItem']",[],3,7,0,"Testar a configuração watchitem_g3 (G3) na família root_local_family em sf0.5, avaliando queries primárias, secundárias afetadas e de controle.",2,3,Onda 2 — escala intermediária,WatchItem rasa,Componente estrutural,12,Executar depois da validação inicial para verificar se o comportamento da configuração se mantém em escala intermediária.
watchitem_g4_sf0.5,watchitem_g4,G4,associative_family,0.5,sf0.5,included_in_study,imdb_mongo_sf0.5_watchitem_g4,WatchItem,watchitems,1,associative_partial,['Role'],[],"['Person', 'Series', 'Episode']","['WatchItem', 'Role']","['QG4_AllPersonsOfTypeForWatchItem', 'QG5_AllPersonsForEpisodesOfSeries', 'QG8_AddPersonRoleToWatchItem']",3,"['QG4_AllPersonsOfTypeForWatchItem', 'QG5_AllPersonsForEpisodesOfSeries', 'QG8_AddPersonRoleToWatchItem']","['QG10_AdvancedSearchWatchItems', 'QG1_WatchItemById', 'QG2_WatchItemByTitle', 'QG3_RecommendationByGenreAndSubtype', 'QG7_UpdateWatchItemMetadata', 'QG9_TopRatedSeriesByGenre']",['QG6_EpisodesOfSeries'],3,6,1,"Testar a configuração watchitem_g4 (G4) na família associative_family em sf0.5, avaliando queries primárias, secundárias afetadas e de controle.",2,4,Onda 2 — escala intermediária,Associativa,Associativa parcial,13,Executar depois da validação inicial para verificar se o comportamento da configuração se mantém em escala intermediária.
watchitem_g5_sf0.5,watchitem_g5,G5,associative_family,0.5,sf0.5,included_in_study,imdb_mongo_sf0.5_watchitem_g5,WatchItem,watchitems,2,associative_snapshot,['Role'],['Person'],"['Series', 'Episode']","['WatchItem', 'Role', 'Person']","['QG4_AllPersonsOfTypeForWatchItem', 'QG5_AllPersonsForEpisodesOfSeries', 'QG8_AddPersonRoleToWatchItem']",3,"['QG4_AllPersonsOfTypeForWatchItem', 'QG5_AllPersonsForEpisodesOfSeries', 'QG8_AddPersonRoleToWatchItem']","['QG10_AdvancedSearchWatchItems', 'QG1_WatchItemById', 'QG2_WatchItemByTitle', 'QG3_RecommendationByGenreAndSubtype', 'QG7_UpdateWatchItemMetadata', 'QG9_TopRatedSeriesByGenre']",['QG6_EpisodesOfSeries'],3,6,1,"Testar a configuração watchitem_g5 (G5) na família associative_family em sf0.5, avaliando queries primárias, secundárias afetadas e de controle.",2,5,Onda 2 — escala intermediária,Associativa,Associativa com snapshot,14,Executar depois da validação inicial para verificar se o comportamento da configuração se mantém em escala intermediária.
watchitem_g6_sf0.5,watchitem_g6,G6,associative_family,0.5,sf0.5,included_in_study,imdb_mongo_sf0.5_watchitem_g6,WatchItem,watchitems,2,associative_full,"['Role', 'Person']",[],"['Series', 'Episode']","['WatchItem', 'Role', 'Person']","['QG4_AllPersonsOfTypeForWatchItem', 'QG5_AllPersonsForEpisodesOfSeries', 'QG8_AddPersonRoleToWatchItem']",3,"['QG4_AllPersonsOfTypeForWatchItem', 'QG5_AllPersonsForEpisodesOfSeries', 'QG8_AddPersonRoleToWatchItem']","['QG10_AdvancedSearchWatchItems', 'QG1_WatchItemById', 'QG2_WatchItemByTitle', 'QG3_RecommendationByGenreAndSubtype', 'QG7_UpdateWatchItemMetadata', 'QG9_TopRatedSeriesByGenre']",['QG6_EpisodesOfSeries'],3,6,1,"Testar a configuração watchitem_g6 (G6) na família associative_family em sf0.5, avaliando queries primárias, secundárias afetadas e de controle.",2,6,Onda 2 — escala intermediária,Associativa,Associativa full,15,Executar depois da validação inicial para verificar se o comportamento da configuração se mantém em escala intermediária.
series_g7_sf0.5,series_g7,G7,containment_family,0.5,sf0.5,included_in_study,imdb_mongo_sf0.5_series_g7,Series,series,0,containment_baseline,[],[],['Episode'],['Series'],['QG6_EpisodesOfSeries'],1,['QG6_EpisodesOfSeries'],"['QG10_AdvancedSearchWatchItems', 'QG3_RecommendationByGenreAndSubtype', 'QG5_AllPersonsForEpisodesOfSeries', 'QG9_TopRatedSeriesByGenre']","['QG1_WatchItemById', 'QG2_WatchItemByTitle', 'QG4_AllPersonsOfTypeForWatchItem', 'QG7_UpdateWatchItemMetadata', 'QG8_AddPersonRoleToWatchItem']",1,4,5,"Testar a configuração series_g7 (G7) na família containment_family em sf0.5, avaliando queries primárias, secundárias afetadas e de controle.",2,7,Onda 2 — escala intermediária,Containment,Baseline containment,16,Executar depois da validação inicial para verificar se o comportamento da configuração se mantém em escala intermediária.
series_g8_sf0.5,series_g8,G8,containment_family,0.5,sf0.5,included_in_study,imdb_mongo_sf0.5_series_g8,Series,series,1,containment_reduced,['Episode'],[],[],"['Series', 'Episode']",['QG6_EpisodesOfSeries'],1,['QG6_EpisodesOfSeries'],"['QG10_AdvancedSearchWatchItems', 'QG3_RecommendationByGenreAndSubtype', 'QG5_AllPersonsForEpisodesOfSeries', 'QG9_TopRatedSeriesByGenre']","['QG1_WatchItemById', 'QG2_WatchItemByTitle', 'QG4_AllPersonsOfTypeForWatchItem', 'QG7_UpdateWatchItemMetadata', 'QG8_AddPersonRoleToWatchItem']",1,4,5,"Testar a configuração series_g8 (G8) na família containment_family em sf0.5, avaliando queries primárias, secundárias afetadas e de controle.",2,8,Onda 2 — escala intermediária,Containment,Containment reduzido,17,Executar depois da validação inicial para verificar se o comportamento da configuração se mantém em escala intermediária.
series_g9_sf0.5,series_g9,G9,containment_family,0.5,sf0.5,included_in_study,imdb_mongo_sf0.5_series_g9,Series,series,1,containment_full,['Episode'],[],[],"['Series', 'Episode']",['QG6_EpisodesOfSeries'],1,['QG6_EpisodesOfSeries'],"['QG10_AdvancedSearchWatchItems', 'QG3_RecommendationByGenreAndSubtype', 'QG5_AllPersonsForEpisodesOfSeries', 'QG9_TopRatedSeriesByGenre']","['QG1_WatchItemById', 'QG2_WatchItemByTitle', 'QG4_AllPersonsOfTypeForWatchItem', 'QG7_UpdateWatchItemMetadata', 'QG8_AddPersonRoleToWatchItem']",1,4,5,"Testar a configuração series_g9 (G9) na família containment_family em sf0.5, avaliando queries primárias, secundárias afetadas e de controle.",2,9,Onda 2 — escala intermediária,Containment,Containment completo,18,Executar depois da validação inicial para verificar se o comportamento da configuração se mantém em escala intermediária.
watchitem_g0_sf1,watchitem_g0,G0,root_local_family,1.0,sf1,included_in_study,imdb_mongo_sf1_watchitem_g0,WatchItem,watchitems,0,baseline_document,[],[],"['Genre', 'Movie', 'Series', 'Episode', 'Role', 'Person']",['WatchItem'],"['QG10_AdvancedSearchWatchItems', 'QG1_WatchItemById', 'QG2_WatchItemByTitle', 'QG3_RecommendationByGenreAndSubtype', 'QG4_AllPersonsOfTypeForWatchItem', 'QG5_AllPersonsForEpisodesOfSeries', 'QG7_UpdateWatchItemMetadata', 'QG8_AddPersonRoleToWatchItem', 'QG9_TopRatedSeriesByGenre']",9,"['QG10_AdvancedSearchWatchItems', 'QG1_WatchItemById', 'QG2_WatchItemByTitle', 'QG3_RecommendationByGenreAndSubtype', 'QG4_AllPersonsOfTypeForWatchItem', 'QG5_AllPersonsForEpisodesOfSeries', 'QG7_UpdateWatchItemMetadata', 'QG8_AddPersonRoleToWatchItem', 'QG9_TopRatedSeriesByGenre']",[],['QG6_EpisodesOfSeries'],9,0,1,"Testar a configuração watchitem_g0 (G0) na família root_local_family em sf1, avaliando queries primárias, secundárias afetadas e de controle.",3,1,Onda 3 — escala final,WatchItem rasa,Baseline raiz WatchItem,19,Executar por último para medir escalabilidade final e confirmar os trade-offs observados nas escalas menores.
watchitem_g2_sf1,watchitem_g2,G2,root_local_family,1.0,sf1,included_in_study,imdb_mongo_sf1_watchitem_g2,WatchItem,watchitems,1,shared_descriptor,['Genre'],[],"['Movie', 'Series', 'Episode']","['WatchItem', 'Genre']","['QG10_AdvancedSearchWatchItems', 'QG3_RecommendationByGenreAndSubtype', 'QG9_TopRatedSeriesByGenre']",3,"['QG10_AdvancedSearchWatchItems', 'QG3_RecommendationByGenreAndSubtype', 'QG9_TopRatedSeriesByGenre']","['QG1_WatchItemById', 'QG2_WatchItemByTitle', 'QG4_AllPersonsOfTypeForWatchItem', 'QG5_AllPersonsForEpisodesOfSeries', 'QG7_UpdateWatchItemMetadata', 'QG8_AddPersonRoleToWatchItem']",['QG6_EpisodesOfSeries'],3,6,1,"Testar a configuração watchitem_g2 (G2) na família root_local_family em sf1, avaliando queries primárias, secundárias afetadas e de controle.",3,2,Onda 3 — escala final,WatchItem rasa,Descritor compartilhado,20,Executar por último para medir escalabilidade final e confirmar os trade-offs observados nas escalas menores.
watchitem_g3_sf1,watchitem_g3,G3,root_local_family,1.0,sf1,included_in_study,imdb_mongo_sf1_watchitem_g3,WatchItem,watchitems,1,structural_component,"['Episode', 'Movie', 'Series']",[],['Genre'],"['WatchItem', 'Episode', 'Movie', 'Series']","['QG10_AdvancedSearchWatchItems', 'QG3_RecommendationByGenreAndSubtype', 'QG9_TopRatedSeriesByGenre']",3,"['QG10_AdvancedSearchWatchItems', 'QG3_RecommendationByGenreAndSubtype', 'QG9_TopRatedSeriesByGenre']","['QG1_WatchItemById', 'QG2_WatchItemByTitle', 'QG4_AllPersonsOfTypeForWatchItem', 'QG5_AllPersonsForEpisodesOfSeries', 'QG6_EpisodesOfSeries', 'QG7_UpdateWatchItemMetadata', 'QG8_AddPersonRoleToWatchItem']",[],3,7,0,"Testar a configuração watchitem_g3 (G3) na família root_local_family em sf1, avaliando queries primárias, secundárias afetadas e de controle.",3,3,Onda 3 — escala final,WatchItem rasa,Componente estrutural,21,Executar por último para medir escalabilidade final e confirmar os trade-offs observados nas escalas menores.
watchitem_g4_sf1,watchitem_g4,G4,associative_family,1.0,sf1,included_in_study,imdb_mongo_sf1_watchitem_g4,WatchItem,watchitems,1,associative_partial,['Role'],[],"['Person', 'Series', 'Episode']","['WatchItem', 'Role']","['QG4_AllPersonsOfTypeForWatchItem', 'QG5_AllPersonsForEpisodesOfSeries', 'QG8_AddPersonRoleToWatchItem']",3,"['QG4_AllPersonsOfTypeForWatchItem', 'QG5_AllPersonsForEpisodesOfSeries', 'QG8_AddPersonRoleToWatchItem']","['QG10_AdvancedSearchWatchItems', 'QG1_WatchItemById', 'QG2_WatchItemByTitle', 'QG3_RecommendationByGenreAndSubtype', 'QG7_UpdateWatchItemMetadata', 'QG9_TopRatedSeriesByGenre']",['QG6_EpisodesOfSeries'],3,6,1,"Testar a configuração watchitem_g4 (G4) na família associative_family em sf1, avaliando queries primárias, secundárias afetadas e de controle.",3,4,Onda 3 — escala final,Associativa,Associativa parcial,22,Executar por último para medir escalabilidade final e confirmar os trade-offs observados nas escalas menores.
watchitem_g5_sf1,watchitem_g5,G5,associative_family,1.0,sf1,included_in_study,imdb_mongo_sf1_watchitem_g5,WatchItem,watchitems,2,associative_snapshot,['Role'],['Person'],"['Series', 'Episode']","['WatchItem', 'Role', 'Person']","['QG4_AllPersonsOfTypeForWatchItem', 'QG5_AllPersonsForEpisodesOfSeries', 'QG8_AddPersonRoleToWatchItem']",3,"['QG4_AllPersonsOfTypeForWatchItem', 'QG5_AllPersonsForEpisodesOfSeries', 'QG8_AddPersonRoleToWatchItem']","['QG10_AdvancedSearchWatchItems', 'QG1_WatchItemById', 'QG2_WatchItemByTitle', 'QG3_RecommendationByGenreAndSubtype', 'QG7_UpdateWatchItemMetadata', 'QG9_TopRatedSeriesByGenre']",['QG6_EpisodesOfSeries'],3,6,1,"Testar a configuração watchitem_g5 (G5) na família associative_family em sf1, avaliando queries primárias, secundárias afetadas e de controle.",3,5,Onda 3 — escala final,Associativa,Associativa com snapshot,23,Executar por último para medir escalabilidade final e confirmar os trade-offs observados nas escalas menores.
watchitem_g6_sf1,watchitem_g6,G6,associative_family,1.0,sf1,included_in_study,imdb_mongo_sf1_watchitem_g6,WatchItem,watchitems,2,associative_full,"['Role', 'Person']",[],"['Series', 'Episode']","['WatchItem', 'Role', 'Person']","['QG4_AllPersonsOfTypeForWatchItem', 'QG5_AllPersonsForEpisodesOfSeries', 'QG8_AddPersonRoleToWatchItem']",3,"['QG4_AllPersonsOfTypeForWatchItem', 'QG5_AllPersonsForEpisodesOfSeries', 'QG8_AddPersonRoleToWatchItem']","['QG10_AdvancedSearchWatchItems', 'QG1_WatchItemById', 'QG2_WatchItemByTitle', 'QG3_RecommendationByGenreAndSubtype', 'QG7_UpdateWatchItemMetadata', 'QG9_TopRatedSeriesByGenre']",['QG6_EpisodesOfSeries'],3,6,1,"Testar a configuração watchitem_g6 (G6) na família associative_family em sf1, avaliando queries primárias, secundárias afetadas e de controle.",3,6,Onda 3 — escala final,Associativa,Associativa full,24,Executar por último para medir escalabilidade final e confirmar os trade-offs observados nas escalas menores.
series_g7_sf1,series_g7,G7,containment_family,1.0,sf1,included_in_study,imdb_mongo_sf1_series_g7,Series,series,0,containment_baseline,[],[],['Episode'],['Series'],['QG6_EpisodesOfSeries'],1,['QG6_EpisodesOfSeries'],"['QG10_AdvancedSearchWatchItems', 'QG3_RecommendationByGenreAndSubtype', 'QG5_AllPersonsForEpisodesOfSeries', 'QG9_TopRatedSeriesByGenre']","['QG1_WatchItemById', 'QG2_WatchItemByTitle', 'QG4_AllPersonsOfTypeForWatchItem', 'QG7_UpdateWatchItemMetadata', 'QG8_AddPersonRoleToWatchItem']",1,4,5,"Testar a configuração series_g7 (G7) na família containment_family em sf1, avaliando queries primárias, secundárias afetadas e de controle.",3,7,Onda 3 — escala final,Containment,Baseline containment,25,Executar por último para medir escalabilidade final e confirmar os trade-offs observados nas escalas menores.
series_g8_sf1,series_g8,G8,containment_family,1.0,sf1,included_in_study,imdb_mongo_sf1_series_g8,Series,series,1,containment_reduced,['Episode'],[],[],"['Series', 'Episode']",['QG6_EpisodesOfSeries'],1,['QG6_EpisodesOfSeries'],"['QG10_AdvancedSearchWatchItems', 'QG3_RecommendationByGenreAndSubtype', 'QG5_AllPersonsForEpisodesOfSeries', 'QG9_TopRatedSeriesByGenre']","['QG1_WatchItemById', 'QG2_WatchItemByTitle', 'QG4_AllPersonsOfTypeForWatchItem', 'QG7_UpdateWatchItemMetadata', 'QG8_AddPersonRoleToWatchItem']",1,4,5,"Testar a configuração series_g8 (G8) na família containment_family em sf1, avaliando queries primárias, secundárias afetadas e de controle.",3,8,Onda 3 — escala final,Containment,Containment reduzido,26,Executar por último para medir escalabilidade final e confirmar os trade-offs observados nas escalas menores.
