config_id,config_name,activated_class,derived_from_query,generic_class,selected_root,proposed_embedding_depth,embedded_entities,snapshot_entities,referenced_entities,embedding_variant,activation_reason
CFG_WatchItem_G5_QG5_AllPersonsForEpisodesOfSeries,watchitem_g5,G5,QG5_AllPersonsForEpisodesOfSeries,QG5,WatchItem,2,Role,Person,"Series, Episode, Person",associative_snapshot,Há caminho associativo profundo com entidade final compartilhada; snapshot é candidato quando full embedding pode ser arriscado.
CFG_WatchItem_G6_QG5_AllPersonsForEpisodesOfSeries,watchitem_g6,G6,QG5_AllPersonsForEpisodesOfSeries,QG5,WatchItem,2,"Role, Person",,"Series, Episode",associative_full,Há caminho associativo profundo e baixa volatilidade suficiente para testar o limite superior da absorção.
CFG_Series_G7_QG6_EpisodesOfSeries,series_g7,G7,QG6_EpisodesOfSeries,QG6,Series,0,,,Episode,containment_baseline,Baseline da família de containment para a raiz de composição.
CFG_Series_G8_QG6_EpisodesOfSeries,series_g8,G8,QG6_EpisodesOfSeries,QG6,Series,1,Episode,,,containment_reduced,Há estrutura parte-todo com componente contido que pode ser embutido de forma reduzida.
CFG_Series_G9_QG6_EpisodesOfSeries,series_g9,G9,QG6_EpisodesOfSeries,QG6,Series,1,Episode,,,containment_full,Há containment forte e estável; o embutimento completo do componente contido é candidato.
CFG_WatchItem_G0_QG7_UpdateWatchItemMetadata,watchitem_g0,G0,QG7_UpdateWatchItemMetadata,QG7,WatchItem,0,,,,baseline_document,Baseline documental principal para a raiz selecionada.
CFG_WatchItem_G0_QG8_AddPersonRoleToWatchItem,watchitem_g0,G0,QG8_AddPersonRoleToWatchItem,QG8,WatchItem,0,,,"Person, Role",baseline_document,Baseline documental principal para a raiz selecionada.
CFG_WatchItem_G4_QG8_AddPersonRoleToWatchItem,watchitem_g4,G4,QG8_AddPersonRoleToWatchItem,QG8,WatchItem,1,Role,,Person,associative_partial,A matriz indica região associativa relevante; a entidade associativa próxima da raiz é candidata a embutimento parcial.
CFG_WatchItem_G5_QG8_AddPersonRoleToWatchItem,watchitem_g5,G5,QG8_AddPersonRoleToWatchItem,QG8,WatchItem,2,Role,Person,Person,associative_snapshot,Há caminho associativo profundo com entidade final compartilhada; snapshot é candidato quando full embedding pode ser arriscado.
CFG_WatchItem_G6_QG8_AddPersonRoleToWatchItem,watchitem_g6,G6,QG8_AddPersonRoleToWatchItem,QG8,WatchItem,2,"Role, Person",,,associative_full,Há caminho associativo profundo e baixa volatilidade suficiente para testar o limite superior da absorção.
CFG_WatchItem_G0_QG9_TopRatedSeriesByGenre,watchitem_g0,G0,QG9_TopRatedSeriesByGenre,QG9,WatchItem,0,,,"Series, Genre",baseline_document,Baseline documental principal para a raiz selecionada.
CFG_WatchItem_G2_QG9_TopRatedSeriesByGenre,watchitem_g2,G2,QG9_TopRatedSeriesByGenre,QG9,WatchItem,1,Genre,,Series,shared_descriptor,"A matriz indica descritor compartilhado próximo da raiz, com absorção total rasa e baixa volatilidade."
CFG_WatchItem_G3_QG9_TopRatedSeriesByGenre,watchitem_g3,G3,QG9_TopRatedSeriesByGenre,QG9,WatchItem,1,Series,,Genre,structural_component,"A matriz indica subtipo/componente estrutural próximo da raiz, com ganho raso e baixa volatilidade."
